ID,Number,From,To,WaitToBoard,TotalTime
122,3,2,1,21,32
126,1,2,1,14,25
119,2,1,2,42,59
124,1,1,3,32,60
123,3,2,3,53,63
118,5,1,4,42,81
120,6,1,5,38,90
125,4,4,6,71,95
117,6,5,6,98,109
127,2,1,6,126,156
129,2,6,2,1,26
131,4,1,2,31,47
134,4,1,2,28,44
132,3,1,4,30,63
128,1,1,6,38,88
136,4,4,6,58,74
130,2,6,1,86,116
135,6,1,6,111,145
137,3,1,6,106,140
138,5,1,6,102,136
140,1,3,1,16,37
147,6,2,1,6,17
145,6,2,5,37,68
139,3,4,5,73,83
144,2,3,6,52,84
143,3,6,5,85,96
146,1,6,1,77,113
153,2,2,3,0,12
150,6,2,6,6,44
148,4,4,6,31,47
149,3,6,5,51,61
152,3,1,2,81,94
155,5,1,3,72,97
151,4,1,5,82,123
154,5,2,5,87,114
159,2,1,2,20,31
157,4,1,3,21,45
156,3,2,5,36,69
160,2,4,5,53,63
158,6,2,6,33,77
162,4,2,1,22,33
164,2,1,2,34,47
165,3,1,3,33,56
161,2,1,5,37,75
163,3,1,6,34,82
168,1,6,5,76,86
167,3,1,2,112,125
166,6,1,4,113,141
169,2,1,4,107,135
170,6,1,3,157,178
171,3,2,6,3,34
172,5,5,1,44,70
173,5,1,3,3,26
174,2,1,4,0,33
176,4,2,6,8,45
177,5,6,1,46,90
178,3,6,1,46,90
179,6,6,1,46,90
181,2,1,5,89,114
180,6,4,3,127,138
175,2,2,1,155,165
187,2,5,6,16,26
182,1,6,1,35,71
184,4,6,1,30,66
186,2,2,1,53,63
185,3,1,2,67,80
183,4,1,3,70,95
189,3,1,4,66,102
188,6,2,4,80,102
194,2,3,2,0,11
190,3,3,1,9,32
193,6,2,1,13,24
191,5,1,2,33,47
197,5,1,2,19,33
199,1,1,2,14,28
196,4,1,3,20,49
198,6,2,5,35,62
195,3,5,6,69,79
192,1,5,3,96,111
200,2,4,6,9,24
203,1,1,2,46,59
201,5,1,3,51,75
204,4,1,3,43,67
206,1,1,5,41,87
202,3,2,6,62,104
205,2,4,6,77,97
207,1,6,5,3,13
208,2,6,1,19,49
212,2,4,6,15,30
209,4,6,1,35,72
210,2,6,1,35,72
211,4,3,1,52,68
214,3,1,2,2,14
216,6,2,3,13,25
222,2,2,4,5,28
215,1,1,5,0,46
213,4,1,6,3,59
217,1,1,6,0,55
221,3,6,1,51,93
220,3,5,1,64,96
218,5,2,1,86,98
219,3,2,1,86,98
223,1,1,4,3,23
224,1,5,6,29,39
228,4,6,1,32,63
226,3,1,2,69,81
225,1,1,4,71,98
227,5,1,5,68,105
230,3,6,1,9,46
232,3,6,1,5,42
234,4,2,1,26,37
233,2,1,2,44,56
231,3,1,3,48,70
